Price.Index.Opening.Value,Price.Index.Max.Value,Price.Index.Min.Value,Price.Index.End.Value,Traded.Volume,Traded.Amount
25714.98,25714.98,24254.02,24331.78,747404638.97,395459851
24331.78,24666.14,23078.81,24425.48,1237085752,626318638
24425.48,24724.52,23813.91,23936.73,905613692.82,446424088
23936.73,24741.86,23936.73,24670.97,1306919345.28,588676552
24670.97,24670.97,23847.15,24034.7,861309167.6,383967536
24034.7,24998.55,24034.7,24936.93,1111590919.5,462418844
24936.93,26004.21,24936.93,25598.47,1249682021.53,622623630
25598.47,26395.82,25479.42,26395.82,1518044926.29,658113439
26395.82,27034.2,26393.87,26765.07,1329891789.55,574983948
26765.07,26965.75,26364.2,26395.5,1095124126.12,456818475
26395.5,26750.38,26018.85,26205.4,989668026.19,438507465
26205.4,26336.86,26020.17,26199,553744216.44,228529601
26199,26371.09,26040.66,26294.15,452722574.09,202590354
26294.15,26383.64,25966.21,26054.96,231677067.67,118464368
26054.96,26149.34,25922.98,26059.14,139597723.88,75672624
26059.14,26568.63,26059.14,26498.96,317469397.68,157078790
26498.96,26816.32,26327.82,26423.64,408104989.21,224453076
26423.64,26656.14,26399.22,26411.09,399959146.57,257027400
26411.09,27228.28,26221.11,26864.07,718165701.03,428459498
26864.07,27332.12,26864.07,27005.63,604365977.34,427584572
27005.63,28096.34,27005.63,27988.65,1206249492.06,681069035
27988.65,28732.54,27988.65,28709.41,1331385059.51,731941244
28709.41,28709.41,27727.37,27892.65,1101058220.9,509668043
27892.65,27892.65,26120.63,26210.37,1279546038.35,563694023
26210.37,27088.83,26210.37,26470.08,1269022630.46,575810851
26470.08,26470.08,25582.54,25708.56,769847598.31,346032904
25708.56,26166.08,25196.82,26108.72,1002168117.51,456576039
26108.72,26400.82,25012.33,25055.71,1166425938.1,546792057
25055.71,25556.11,24833.88,25072.3,1306319144.21,587627735
25072.3,25992.08,25072.3,25630.96,1060797730.88,466396554
25630.96,25882.81,24883.87,25055.88,872072376.88,429047192
25055.88,25428.04,24649.84,24714.74,1053019552.3,496047446
24714.74,24736.12,24035.25,24736.12,1147479116.19,546496851
24736.12,25305.27,24489.94,24641.93,1116537599.67,543126087
24641.93,24836.64,24332.58,24781.83,884555386.8,450531424
24781.83,25970,24781.83,25970,1251217117.18,632694066
25970,26259.62,25479.97,25798.26,1168299943.72,581837394
25798.26,26772.48,25798.26,26705.62,1166690810.19,613487414
26705.62,26705.62,26011.12,26162.99,938159751.91,462938551
26162.99,26162.99,25567.4,25934.37,800798081.17,398773612
25934.37,25934.37,25234.77,25270.81,584081852.27,258775983
25270.81,25874.04,25270.81,25659.9,745928999.97,361185256
25659.9,26307.99,25659.9,26141.06,828679936.69,399095545
26141.06,26141.06,25669.31,25774.21,673096100.92,318954362
25774.21,26783.85,25774.21,26735.21,1067008430.16,521814919
26735.21,27131.87,26735.21,27040.47,946807579.63,496945747
27040.47,27040.47,25904.6,25966.12,1038150437.96,494686808
25966.12,25966.12,24974.76,25398.42,955490299.43,391446319
25398.42,25674.78,24899.2,25023.08,823841917.53,389466874
25023.08,25562.26,24961.38,25199.53,942784460.21,474706553
25199.53,25199.53,24720.7,24911.52,569264570.35,287897757
24911.52,24911.52,23754.5,23907.55,884862921.39,469945428
23907.55,24182.75,23160,23844.72,1235112468.41,679051787
23844.72,24527.99,23844.72,24439.91,900271072.06,464198637
24439.91,24439.91,23453.1,23579.48,880369163.57,457194171
23579.48,24196.58,23579.48,23991.03,829016162.75,435684013
23991.03,24068.71,23436.6,24032.46,1026587914.15,527974813
24032.46,24554.43,24032.46,24152.34,783631611.2,355342730
24152.34,24343.56,24034.66,24168.57,756327324.85,409989973
